company,title,link,location,experience,education,employment_type,deadline,sector,salary,created_at,views,tech_stack
(주)진코퍼레이션,"2024-3차) java, jsp, Nexacro 웹개발자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489958&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 금천구,신입·경력,초대졸↑,정규직,~ 01/27(월),"['웹개발', '백엔드/서버개발', '프론트엔드', 'OracleDB 외']",,등록일 24/11/28,0,['Java']
(주)엠플러스,SW개발팀 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509845&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 수원시 권선구,신입,대졸↑,정규직,~ 12/31(화),"['R&D', '알고리즘개발', '솔루션', '외']",,수정일 24/12/02,0,"['Python', 'C++']"
(주)데이터유니버스,[신입/경력] Backend 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460689&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 영등포구,경력무관,대졸↑,정규직·계약직,상시채용,"['백엔드/서버개발', 'Linux', 'My', '빅데이터', '인프라 외']",,등록일 24/11/25,0,['SQL']
넛지헬스케어(주),[넛지헬스케어] 백엔드개발 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523378&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강남구,신입,학력무관,인턴직,~ 02/02(일),"['앱개발', '웹개발', '백엔드/서버개발', '프론트엔드 외']",,등록일 24/12/04,0,['Java']
(주)이썸테크,금융 IT SI개발/솔루션 유지관리/기술지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49554214&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강남구,신입,대졸↑,정규직,~ 12/18(수),"['SI개발', '유지보수', '솔루션 외']",,등록일 24/12/09,0,"['Java', 'C++']"
(주)디리아,금융솔루션 개발자 채용 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429606&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 서초구,신입·경력,대졸↑,정규직,채용시,"['백엔드/서버개발', '유지보수', 'script', '솔루션 외']",,등록일 24/11/19,0,['Java']
크리니티(주),[개발자 채용] 서비스 개발 및 운영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445917&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 금천구,신입·경력,초대졸↑,정규직,~ 12/21(토),"['웹개발', '백엔드/서버개발', '프론트엔드', '유지보수 외']",,수정일 24/11/21,0,['Java']
알서포트(주),[코스닥 상장사] 웹 프론트엔드 개발자 채용 (장애인채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462614&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강동구,경력무관,학력무관,계약직,~ 12/16(월),"['웹개발', '퍼블리셔', '프론트엔드', '유지보수 외']",,등록일 24/11/25,0,['Java']
(주)케이지모빌리언스,"[KG모빌리언스] JAVA 웹, 응용 서비스 개발 및 운영 담당",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496304&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=64540d02-51fa-487f-9581-7b7cc263e206,서울 중구,신입·경력,학력무관,정규직,~ 12/29(일),"['웹개발', 'script', 'CSS 외']",,수정일 24/12/03,0,"['Java', 'Spring']"
(주)엑셈,Golang Agent 개발자(신입/~3년 이하),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49562907&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=64540d02-51fa-487f-9581-7b7cc263e206,서울 강서구,신입·경력,학력무관,정규직,~ 01/09(목),"['웹개발', '백엔드/서버개발', '솔루션', 'SE(시스템엔지니어) 외']",,등록일 24/12/10,0,['C++']
